时段序号,时段起始分钟,时间,电价,小区负载,光伏发电预测功率,负荷电量_kWh,光伏电量_kWh,净负荷_kWh,购电量_kWh,充电量_kWh,放电量_kWh,弃光量_kWh,期末储电量_kWh,购电费_元,无储能购电量_kWh,无储能购电费_元
23,230,03:50:00,0.436,3546.3976,0.0,591.0662666666666,0.0,591.0662666666666,591.0662666666666,0.0,0.0,0.0,10050.0,257.70489226666666,591.0662666666666,257.70489226666666
24,240,04:00:00,0.4378,3560.207,0.0,593.3678333333332,0.0,593.3678333333332,593.3678333333332,0.0,0.0,0.0,10050.0,259.7764374333333,593.3678333333332,259.7764374333333
25,250,04:10:00,0.4401,3561.9581,0.0,593.6596833333333,0.0,593.6596833333333,593.6596833333333,0.0,0.0,0.0,10050.0,261.269626635,593.6596833333333,261.269626635
26,260,04:20:00,0.4389,3556.7183,0.0,592.7863833333333,0.0,592.7863833333333,592.7863833333333,0.0,0.0,0.0,10050.0,260.173943645,592.7863833333333,260.173943645
27,270,04:30:00,0.4364,3560.0272,0.0,593.3378666666666,0.0,593.3378666666666,593.3378666666666,0.0,0.0,0.0,10050.0,258.93264501333334,593.3378666666666,258.93264501333334
28,280,04:40:00,0.4393,3580.654,0.5994,596.7756666666667,0.0999,596.6757666666666,596.6757666666666,0.0,0.0,0.0,10050.0,262.11966429666666,596.6757666666666,262.11966429666666
29,290,04:50:00,0.4422,3586.916,0.2345,597.8193333333334,0.03908333333333333,597.78025,597.78025,0.0,0.0,0.0,10050.0,264.33842655,597.78025,264.33842655
30,300,05:00:00,0.4395,3571.2635,0.2885,595.2105833333333,0.048083333333333325,595.1624999999999,595.1624999999999,0.0,0.0,0.0,10050.0,261.57391874999996,595.1624999999999,261.57391874999996
31,310,05:10:00,0.4333,3562.3171,18.6781,593.7195166666667,3.1130166666666668,590.6065,590.6065,0.0,0.0,0.0,10050.0,255.90979645000002,590.6065,255.90979645000002
32,320,05:20:00,0.4439,3591.3809,54.4698,598.5634833333334,9.078299999999999,589.4851833333333,589.4851833333333,0.0,0.0,0.0,10050.0,261.6724728816667,589.4851833333333,261.6724728816667
33,330,05:30:00,0.4301,3579.7045,108.9718,596.6174166666666,18.161966666666665,578.4554499999999,578.4554499999999,0.0,0.0,0.0,10050.0,248.79368904499995,578.4554499999999,248.79368904499995
34,340,05:40:00,0.3713,3486.119,184.1603,581.0198333333333,30.693383333333333,550.3264499999999,1383.659783333333,833.3333333333333,0.0,0.0,10800.0,513.7528775516666,550.3264499999999,204.33621088499999
35,350,05:50:00,0.5708,3823.8994,277.0582,637.3165666666666,46.17636666666667,591.1401999999999,591.1401999999999,0.0,0.0,0.0,10800.0,337.42282615999994,591.1401999999999,337.42282615999994
36,360,06:00:00,0.9099,4398.0727,388.5494,733.0121166666665,64.75823333333332,668.2538833333332,0.0,0.0,668.2538833333332,0.0,10057.495685185186,0.0,668.2538833333332,608.0442084449999
37,370,06:10:00,0.9368,4454.0123,521.2803,742.3353833333333,86.88005,655.4553333333333,0.0,0.0,655.4553333333333,0.0,9329.211981481481,0.0,655.4553333333333,614.0305562666666
38,380,06:20:00,0.8758,4371.7919,672.7677,728.6319833333333,112.12795,616.5040333333334,0.0,0.0,616.5040333333334,0.0,8644.2075,0.0,616.5040333333334,539.9342323933334
39,390,06:30:00,0.8759,4392.953,844.2261,732.1588333333334,140.70434999999998,591.4544833333334,0.0,0.0,591.4544833333334,0.0,7987.035851851852,0.0,591.4544833333334,518.0549819516667
40,400,06:40:00,0.8601,4384.5956,1039.6744,730.7659333333332,173.27906666666667,557.4868666666666,0.0,0.0,557.4868666666666,0.0,7367.606000000001,0.0,557.4868666666666,479.49445402
41,410,06:50:00,0.8442,4434.7757,1259.3375,739.1292833333333,209.88958333333335,529.2397,0.0,0.0,529.2397,0.0,6779.561888888889,0.0,529.2397,446.78415473999996
42,420,07:00:00,0.8334,4523.4561,1508.6318,753.90935,251.43863333333334,502.4707166666667,0.0,0.0,502.4707166666667,0.0,6221.261092592593,0.0,502.4707166666667,418.75909527000005
43,430,07:10:00,0.8092,4524.0721,1791.4107,754.0120166666667,298.56845,455.4435666666667,0.0,0.0,455.4435666666667,0.0,5715.212685185185,0.0,455.4435666666667,368.5449341466667
44,440,07:20:00,0.7972,4545.8867,2085.4865,757.6477833333333,347.5810833333333,410.0667,0.0,0.0,410.0667,0.0,5259.583018518519,0.0,410.0667,326.90517324
45,450,07:30:00,0.7644,4523.2418,2381.2611,753.8736333333333,396.87685,356.99678333333327,0.0,0.0,356.99678333333327,0.0,4862.919925925926,0.0,356.99678333333327,272.88834117999994
46,460,07:40:00,0.6899,4383.3566,2683.1752,730.5594333333333,447.1958666666667,283.36356666666666,0.00010084787634296699,0.0,283.3634658187903,0.0,4548.071630571714,6.957494988901293e-05,283.36356666666666,195.49252464333333
47,470,07:50:00,0.86,4910.4599,2986.3552,818.4099833333332,497.72586666666666,320.68411666666657,0.0,0.0,320.68411666666657,0.0,4191.755945386529,0.0,320.68411666666657,275.7883403333332
48,480,08:00:00,1.1617,5799.7327,3289.204,966.6221166666666,548.2006666666666,418.42144999999994,0.0,0.0,418.42144999999994,0.0,3726.8432231643064,0.0,418.42144999999994,486.0801984649999
49,490,08:10:00,1.1683,5884.826,3593.3613,980.8043333333333,598.89355,381.91078333333326,0.0,0.0,381.91078333333326,0.0,3302.497908349492,0.0,381.91078333333326,446.1863681683332
50,500,08:20:00,1.0956,5748.0713,3890.7332,958.0118833333332,648.4555333333333,309.55634999999995,0.0,0.0,309.55634999999995,0.0,2958.5464083494917,0.0,309.55634999999995,339.1499370599999
51,510,08:30:00,1.0849,5769.0581,4181.3417,961.5096833333333,696.8902833333333,264.61940000000004,0.0,0.0,264.61940000000004,0.0,2664.524852793936,0.0,264.61940000000004,287.08558706
52,520,08:40:00,1.061,5754.2105,4471.7657,959.0350833333333,745.2942833333333,213.74080000000004,0.0,0.0,213.74080000000004,0.0,2427.0350750161583,0.0,213.74080000000004,226.77898880000004
53,530,08:50:00,1.043,5824.1807,4752.8272,970.6967833333333,792.1378666666666,178.55891666666673,0.0,0.0,178.55891666666673,0.0,2228.636278719862,0.0,178.55891666666673,186.2369500833334
54,540,09:00:00,1.036,5954.2601,5021.9074,992.3766833333334,836.9845666666666,155.39211666666677,0.0,0.0,155.39211666666677,0.0,2055.9783713124543,0.0,155.39211666666677,160.98623286666677
55,550,09:10:00,1.0147,5958.9696,5285.4126,993.1616,880.9020999999999,112.25950000000012,0.0,0.0,112.25950000000012,0.0,1931.2455935346763,0.0,112.25950000000012,113.90971465000011
56,560,09:20:00,0.9922,5929.5554,5543.1742,988.2592333333333,923.8623666666667,64.3968666666666,0.0,0.0,64.3968666666666,0.0,1859.6935194606024,0.0,64.3968666666666,63.8945711066666
57,570,09:30:00,0.97,5923.7828,5788.4093,987.2971333333332,964.7348833333333,22.56224999999995,0.0,0.0,22.56224999999995,0.0,1834.6243527939357,0.0,22.56224999999995,21.88538249999995
58,580,09:40:00,0.9422,5907.586,6012.1304,984.5976666666667,1002.0217333333333,-17.42406666666659,0.0,17.42406666666659,0.0,0.0,1850.3060127939357,0.0,0.0,0.0
59,590,09:50:00,0.9569,5899.1262,6216.1528,983.1877,1036.0254666666665,-52.83776666666654,0.0,52.83776666666654,0.0,0.0,1897.8600027939356,0.0,0.0,0.0
60,600,10:00:00,0.9977,5902.2196,6409.5941,983.7032666666667,1068.2656833333333,-84.56241666666665,0.0,84.56241666666665,0.0,0.0,1973.9661777939355,0.0,0.0,0.0
61,610,10:10,0.9919,5897.4793,6599.3808,982.9132166666666,1099.8968,-116.9835833333334,0.0,116.9835833333334,0.0,0.0,2079.2514027939355,0.0,0.0,0.0
62,620,10:20,0.9588,5886.7568,6766.7204,981.1261333333333,1127.7867333333334,-146.66060000000004,0.0,146.66060000000004,0.0,0.0,2211.2459427939357,0.0,0.0,0.0
63,630,10:30,0.9549,5873.4708,6914.5923,978.9118,1152.43205,-173.52024999999992,0.0,173.52024999999992,0.0,0.0,2367.4141677939356,0.0,0.0,0.0
64,640,10:40,0.9839,5858.0308,7064.2053,976.3384666666667,1177.36755,-201.02908333333323,0.0,201.02908333333323,0.0,0.0,2548.3403427939356,0.0,0.0,0.0
65,650,10:50,0.799,5844.9948,7197.4315,974.1658,1199.5719166666665,-225.40611666666655,0.0,225.40611666666655,0.0,0.0,2751.2058477939354,0.0,0.0,0.0
66,660,11:00,0.5025,5839.0587,7303.1142,973.1764499999999,1217.1857,-244.00925000000007,0.0,244.00925000000007,0.0,0.0,2970.8141727939355,0.0,0.0,0.0
67,670,11:10,0.4662,5838.7103,7387.6848,973.1183833333332,1231.2808,-258.1624166666668,575.1709166666665,833.3333333333333,0.0,0.0,3720.8141727939355,268.1446813499999,0.0,0.0
68,680,11:20,0.5007,5823.4378,7459.227,970.5729666666666,1243.2044999999998,-272.6315333333332,0.0,272.6315333333332,0.0,0.0,3966.1825527939354,0.0,0.0,0.0
69,690,11:30,0.4827,5814.7932,7520.7191,969.1322,1253.4531833333333,-284.3209833333333,0.0,284.3209833333333,0.0,0.0,4222.071437793936,0.0,0.0,0.0
70,700,11:40,0.4785,5832.3951,7568.2039,972.06585,1261.3673166666667,-289.3014666666668,179.27704689563137,468.57851356229816,0.0,0.0,4643.792100000004,85.78406693955961,0.0,0.0
71,710,11:50,0.4662,5712.901,7592.1539,952.1501666666666,1265.3589833333333,-313.20881666666673,520.1245166666665,833.3333333333333,0.0,0.0,5393.792100000004,242.48204966999992,0.0,0.0
72,720,12:00,0.4432,5519.4607,7601.0433,919.9101166666666,1266.84055,-346.9304333333333,486.40289999999993,833.3333333333333,0.0,0.0,6143.792100000004,215.57376527999998,0.0,0.0
73,730,12:10,0.4411,5494.7907,7612.316,915.7984499999999,1268.7193333333332,-352.92088333333334,480.4124499999999,833.3333333333333,0.0,0.0,6893.792100000004,211.90993169499995,0.0,0.0
74,740,12:20,0.4551,5514.4524,7602.6524,919.0754,1267.1087333333332,-348.0333333333333,485.29999999999995,833.3333333333333,0.0,0.0,7643.792100000004,220.86003,0.0,0.0
75,750,12:30,0.4463,5485.829,7554.1872,914.3048333333332,1259.0312,-344.72636666666665,488.6069666666666,833.3333333333333,0.0,0.0,8393.792100000004,218.06528922333328,0.0,0.0
76,760,12:40,0.4113,5462.3628,7472.7384,910.3937999999999,1245.4564,-335.0626000000001,498.27073333333317,833.3333333333333,0.0,0.0,9143.792100000004,204.93875261999995,0.0,0.0
77,770,12:50,0.5682,5566.1066,7393.4172,927.6844333333333,1232.2361999999998,-304.5517666666665,0.0,304.5517666666665,0.0,0.0,9417.888690000003,0.0,0.0,0.0
78,780,13:00,0.8279,5725.7548,7312.7979,954.2924666666665,1218.79965,-264.5071833333334,0.0,264.5071833333334,0.0,0.0,9655.945155000003,0.0,0.0,0.0
79,790,13:10,0.8636,5739.4957,7194.541,956.5826166666667,1199.0901666666666,-242.50754999999992,0.0,242.50754999999992,0.0,0.0,9874.201950000002,0.0,0.0,0.0
80,800,13:20,0.8416,5714.6836,7053.1371,952.4472666666667,1175.5228499999998,-223.07558333333316,0.0,223.07558333333316,0.0,0.0,10074.969975000002,0.0,0.0,0.0
81,810,13:30,0.8618,5717.8505,6910.4064,952.9750833333333,1151.7343999999998,-198.75931666666656,0.0,198.75931666666656,0.0,0.0,10253.853360000001,0.0,0.0,0.0
82,820,13:40,0.8623,5708.2486,6772.4075,951.3747666666666,1128.7345833333334,-177.3598166666668,0.0,177.3598166666668,0.0,0.0,10413.477195000001,0.0,0.0,0.0
83,830,13:50,0.9026,5696.9182,6607.36,949.4863666666666,1101.2266666666665,-151.74029999999982,0.0,151.74029999999982,0.0,0.0,10550.043465,0.0,0.0,0.0
84,840,14:00,0.9754,5692.2983,6412.5085,948.7163833333334,1068.7514166666665,-120.0350333333331,0.0,120.0350333333331,0.0,0.0,10658.074995,0.0,0.0,0.0
85,850,14:10,1.0002,5687.1291,6214.0158,947.8548499999999,1035.6693,-87.81445000000008,0.0,87.81445000000008,0.0,0.0,10737.108,0.0,0.0,0.0
86,860,14:20,0.9978,5678.962,6000.7112,946.4936666666667,1000.1185333333333,-53.62486666666655,0.0,53.62486666666655,0.0,0.0,10785.37038,0.0,0.0,0.0
87,870,14:30,1.0271,5669.4508,5766.9816,944.9084666666665,961.1636,-16.255133333333447,0.0,16.255133333333447,0.0,0.0,10800.0,0.0,0.0,0.0
88,880,14:40,1.0906,5664.1948,5521.5066,944.0324666666667,920.2511,23.781366666666713,0.0,0.0,23.781366666666713,0.0,10773.57625925926,0.0,23.781366666666713,25.935958486666717
89,890,14:50,0.9376,5672.7011,5268.781,945.4501833333334,878.1301666666666,67.32001666666679,0.0,0.0,67.32001666666679,0.0,10698.77624074074,0.0,67.32001666666679,63.11924762666678
90,900,15:00,0.6694,5682.2544,5009.7152,947.0423999999999,834.9525333333332,112.0898666666667,112.0898666666667,0.0,0.0,0.0,10698.77624074074,75.03295674666668,112.0898666666667,75.03295674666668
91,910,15:10,0.66,5669.0195,4743.4484,944.8365833333334,790.5747333333334,154.26184999999998,266.73269362139905,112.47084362139907,0.0,0.0,10800.0,176.04357779012338,154.26184999999998,101.81282099999999
92,920,15:20,0.7217,5656.3651,4471.224,942.7275166666666,745.204,197.52351666666664,197.52351666666664,0.0,0.0,0.0,10800.0,142.55272197833332,197.52351666666664,142.55272197833332
93,930,15:30,0.7308,5657.0867,4188.2025,942.8477833333333,698.03375,244.8140333333332,244.8140333333332,0.0,0.0,0.0,10800.0,178.91009555999992,244.8140333333332,178.91009555999992
94,940,15:40,0.7534,5662.6008,3889.3931,943.7668,648.2321833333333,295.5346166666667,295.5346166666667,0.0,0.0,0.0,10800.0,222.65578019666668,295.5346166666667,222.65578019666668
95,950,15:50,0.7823,5669.2596,3594.5946,944.8766,599.0990999999999,345.77750000000015,345.77750000000015,0.0,0.0,0.0,10800.0,270.50173825000013,345.77750000000015,270.50173825000013
96,960,16:00,0.8055,5673.4767,3303.8878,945.57945,550.6479666666667,394.9314833333333,394.9314833333333,0.0,0.0,0.0,10800.0,318.11730982499995,394.9314833333333,318.11730982499995
97,970,16:10,0.8271,5671.0146,2998.4247,945.1691000000001,499.73744999999997,445.4316500000001,445.4316500000001,0.0,0.0,0.0,10800.0,368.41651771500005,445.4316500000001,368.41651771500005
98,980,16:20,0.8519,5661.5926,2687.4131,943.5987666666666,447.90218333333337,495.69658333333325,495.69658333333325,0.0,0.0,0.0,10800.0,422.2839193416666,495.69658333333325,422.2839193416666
99,990,16:30,0.8791,5665.8922,2383.1779,944.3153666666667,397.1963166666667,547.11905,547.11905,0.0,0.0,0.0,10800.0,480.972356855,547.11905,480.972356855
100,1000,16:40,0.9024,5689.0372,2089.1246,948.1728666666666,348.18743333333333,599.9854333333333,599.9854333333333,0.0,0.0,0.0,10800.0,541.42685504,599.9854333333333,541.42685504
101,1010,16:50,0.9163,5603.6614,1791.0829,933.9435666666666,298.5138166666667,635.4297499999999,635.4297499999999,0.0,-0.0,0.0,10800.0,582.2442799249999,635.4297499999999,582.2442799249999
102,1020,17:00,0.9264,5466.7124,1501.7283,911.1187333333334,250.28805,660.8306833333334,660.8306833333334,0.0,-0.0,0.0,10800.0,612.19354504,660.8306833333334,612.19354504
103,1030,17:10,0.9462,5467.3939,1255.1723,911.2323166666666,209.19538333333333,702.0369333333333,702.0369333333333,0.0,-0.0,0.0,10800.0,664.26734632,702.0369333333333,664.26734632
104,1040,17:20,0.9742,5464.727,1036.3323,910.7878333333333,172.72205,738.0657833333333,738.0657833333333,0.0,-0.0,0.0,10800.0,719.0236861233333,738.0657833333333,719.0236861233333
105,1050,17:30,0.9862,5492.4458,836.7775,915.4076333333334,139.46291666666667,775.9447166666666,775.9447166666666,0.0,0.0,0.0,10800.0,765.2366795766666,775.9447166666666,765.2366795766666
106,1060,17:40,0.976,5621.7308,665.2313,936.9551333333334,110.87188333333333,826.08325,826.08325,0.0,0.0,0.0,10800.0,806.257252,826.08325,806.257252
107,1070,17:50,1.0742,5091.2126,516.6758,848.5354333333332,86.11263333333332,762.4227999999999,762.4227999999999,0.0,-0.0,0.0,10800.0,818.99457176,762.4227999999999,818.99457176
108,1080,18:00,1.2313,4208.5688,386.6731,701.4281333333333,64.44551666666666,636.9826166666667,636.9826166666667,0.0,-0.0,0.0,10800.0,784.3166959016667,636.9826166666667,784.3166959016667
109,1090,18:10,1.2561,4122.7611,275.7933,687.1268499999999,45.96554999999999,641.1612999999999,531.8940499999999,0.0,109.26725000000005,0.0,10678.591944444444,668.1121162049999,641.1612999999999,805.3627089299998
110,1100,18:20,1.2447,4255.9358,182.9526,709.3226333333333,30.492099999999997,678.8305333333333,678.8305333333333,0.0,0.0,0.0,10678.591944444444,844.9403648399999,678.8305333333333,844.9403648399999
111,1110,18:30,1.2545,4225.9524,108.3414,704.3254,18.0569,686.2684999999999,686.2684999999999,0.0,0.0,0.0,10678.591944444444,860.9238332499998,686.2684999999999,860.9238332499998
112,1120,18:40,1.2522,4233.3384,54.3121,705.5563999999999,9.052016666666667,696.5043833333333,696.5043833333333,0.0,0.0,0.0,10678.591944444444,872.1627888099999,696.5043833333333,872.1627888099999
113,1130,18:50,1.2881,4246.4625,18.6569,707.7437499999999,3.1094833333333334,704.6342666666666,0.0,0.0,704.6342666666666,0.0,9895.664981481481,0.0,704.6342666666666,907.6393988933332
114,1140,19:00,1.3466,4239.1795,0.2753,706.5299166666666,0.04588333333333333,706.4840333333333,0.0,0.0,706.4840333333333,0.0,9110.682722222222,0.0,706.4840333333333,951.3513992866666
115,1150,19:10,1.3523,4244.6684,0.2296,707.4447333333333,0.038266666666666664,707.4064666666666,0.0,0.0,707.4064666666666,0.0,8324.675537037037,0.0,707.4064666666666,956.6257648733332
116,1160,19:20,1.3445,4251.9187,0.6007,708.6531166666666,0.10011666666666666,708.553,0.0,0.0,708.553,0.0,7537.394425925927,0.0,708.553,952.6495085
117,1170,19:30,1.3483,4256.6813,0.0,709.4468833333333,0.0,709.4468833333333,0.0,0.0,709.4468833333333,0.0,6749.120111111112,0.0,709.4468833333333,956.5472327983333
118,1180,19:40,1.349,4267.3947,0.0,711.23245,0.0,711.23245,0.0,0.0,711.23245,0.0,5958.861833333334,0.0,711.23245,959.45257505
119,1190,19:50,1.3473,4269.975,0.0,711.6625,0.0,711.6625,0.0,0.0,711.6625,0.0,5168.125722222223,0.0,711.6625,958.82288625
120,1200,20:00,1.3482,4268.6702,0.0,711.4450333333332,0.0,711.4450333333332,0.0,0.0,711.4450333333332,0.0,4377.631240740741,0.0,711.4450333333332,959.1701939399999
121,1210,20:10,1.3513,4282.2245,0.0,713.7040833333333,0.0,713.7040833333333,0.0,0.0,713.7040833333333,0.0,3584.626703703704,0.0,713.7040833333333,964.4283278083333
122,1220,20:20,1.34,4291.7049,0.0,715.28415,0.0,715.28415,0.0,0.0,715.28415,0.0,2789.8665370370372,0.0,715.28415,958.480761
123,1230,20:30,1.3489,4291.3611,0.0,715.22685,0.0,715.22685,0.0,0.0,715.22685,0.0,1995.170037037037,0.0,715.22685,964.769497965
124,1240,20:40,1.3952,4293.9182,0.0,715.6530333333333,0.0,715.6530333333333,0.0,0.0,715.6530333333333,0.0,1200.0,0.0,715.6530333333333,998.4791121066665
125,1250,20:50,1.2226,4295.2135,0.0,715.8689166666666,0.0,715.8689166666666,715.8689166666666,0.0,-0.0,0.0,1200.0,875.2213375166665,715.8689166666666,875.2213375166665
126,1260,21:00,0.9332,4302.0307,0.0,717.0051166666667,0.0,717.0051166666667,717.0051166666667,0.0,0.0,0.0,1200.0,669.1091748733334,717.0051166666667,669.1091748733334
127,1270,21:10,0.9068,4320.9618,0.0,720.1603,0.0,720.1603,720.1603,0.0,0.0,0.0,1200.0,653.0413600400001,720.1603,653.0413600400001
128,1280,21:20,0.9371,4302.3292,0.0,717.0548666666666,0.0,717.0548666666666,717.0548666666666,0.0,0.0,0.0,1200.0,671.9521155533333,717.0548666666666,671.9521155533333
129,1290,21:30,0.9371,4322.6758,0.0,720.4459666666667,0.0,720.4459666666667,720.4459666666667,0.0,0.0,0.0,1200.0,675.1299153633333,720.4459666666667,675.1299153633333
130,1300,21:40,0.9871,4428.8083,0.0,738.1347166666666,0.0,738.1347166666666,738.1347166666666,0.0,-0.0,0.0,1200.0,728.6127788216666,738.1347166666666,728.6127788216666
131,1310,21:50,0.7764,4030.1614,0.0,671.6935666666666,0.0,671.6935666666666,671.6935666666666,0.0,-0.0,0.0,1200.0,521.5028851599999,671.6935666666666,521.5028851599999
132,1320,22:00,0.4209,3362.7419,0.0,560.4569833333333,0.0,560.4569833333333,1393.7903166666665,833.3333333333333,0.0,0.0,1950.0,586.6463442849999,560.4569833333333,235.89634428499997
133,1330,22:10,0.3859,3309.3934,0.0,551.5655666666667,0.0,551.5655666666667,1384.8989,833.3333333333333,0.0,0.0,2700.0,534.43248551,551.5655666666667,212.84915217666668
134,1340,22:20,0.4368,3412.9563,0.0,568.8260499999999,0.0,568.8260499999999,568.8260499999999,0.0,0.0,0.0,2700.0,248.46321863999998,568.8260499999999,248.46321863999998
135,1350,22:30,0.4198,3381.9313,0.0,563.6552166666667,0.0,563.6552166666667,1396.98855,833.3333333333333,0.0,0.0,3450.0,586.45579329,563.6552166666667,236.62245995666666
136,1360,22:40,0.4186,3386.5592,0.0,564.4265333333333,0.0,564.4265333333333,1397.7598666666665,833.3333333333333,0.0,0.0,4200.0,585.1022801866667,564.4265333333333,236.26894685333332
137,1370,22:50,0.4241,3400.4846,0.0,566.7474333333332,0.0,566.7474333333332,566.7474333333332,0.0,0.0,0.0,4200.0,240.3575864766666,566.7474333333332,240.3575864766666
138,1380,23:00,0.4237,3399.2426,0.0,566.5404333333333,0.0,566.5404333333333,1399.8737666666666,833.3333333333333,0.0,0.0,4950.0,593.1265149366667,566.5404333333333,240.04318160333335
139,1390,23:10,0.4248,3406.9809,0.0,567.83015,0.0,567.83015,567.83015,0.0,0.0,0.0,4950.0,241.21424772,567.83015,241.21424772
140,1400,23:20,0.424,3416.1518,0.0,569.3586333333333,0.0,569.3586333333333,902.6919666666666,333.3333333333333,0.0,0.0,5250.0,382.74139386666667,569.3586333333333,241.4080605333333
141,1410,23:30,0.422,3421.9811,0.0,570.3301833333333,0.0,570.3301833333333,1403.6635166666665,833.3333333333333,0.0,0.0,6000.0,592.3460040333332,570.3301833333333,240.67933736666663
142,1420,23:40,0.424,3429.6923,0.0,571.6153833333333,0.0,571.6153833333333,571.6153833333333,0.0,0.0,0.0,6000.0,242.3649225333333,571.6153833333333,242.3649225333333
143,1430,23:50,0.4271,3439.061,0.0,573.1768333333333,0.0,573.1768333333333,573.1768333333333,0.0,0.0,0.0,6000.0,244.80382551666665,573.1768333333333,244.80382551666665
144,1440,0:00+1,0.4276,3444.7259,0.0,574.1209833333332,0.0,574.1209833333332,574.1209833333332,0.0,0.0,0.0,6000.0,245.49413247333328,574.1209833333332,245.49413247333328
