策略,扰动类型,样本序号,扰动后总成本_元,紧急购电量_kWh,剩余电量_kWh,成本变化率_百分比
问题2_固定价,逐时段独立,24,18131797.83113143,1061862.5928433957,4559581.986095423,5.359906068595199
问题2_固定价,逐时段独立,25,18171350.73599094,1066410.6836860462,4555427.694713098,5.58973933607092
问题2_固定价,逐时段独立,26,18185985.486412786,1070848.0379409413,4554110.136842413,5.67477866554853
问题2_固定价,逐时段独立,27,18131234.490818467,1060528.2155388116,4555151.6798886955,5.356632621416324
问题2_固定价,逐时段独立,28,18143902.777445614,1059617.0826533746,4560257.988610958,5.430245260467181
问题2_固定价,逐时段独立,29,18156916.056706198,1065196.2360240652,4569066.680225387,5.5058625761525315
问题2_固定价,逐时段独立,30,18118470.880061947,1062133.7714806588,4584075.848174135,5.2824660747270435
问题2_固定价,逐时段独立,31,18144796.088605836,1063931.5947601807,4592222.275879042,5.435436095971058
问题2_固定价,逐时段独立,32,18167041.16765486,1068825.3090742112,4556902.556598395,5.564697378328276
问题2_固定价,逐时段独立,33,18154267.873473037,1062425.7694262816,4567945.938468396,5.490474563375369
问题2_固定价,逐时段独立,34,18111287.18199683,1055866.9423520053,4562884.6680983985,5.240723178605267
问题2_固定价,逐时段独立,35,18144669.371201195,1064943.358284365,4548156.747035232,5.434699768885642
问题2_固定价,逐时段独立,36,18172923.68531166,1068066.0744313058,4568462.6220217,5.598879400074797
问题2_固定价,逐时段独立,37,18147216.024945907,1064085.9710076859,4568400.3858002275,5.449497816041871
问题2_固定价,逐时段独立,38,18144614.046019014,1064575.8620255427,4563764.793585685,5.434378286369013
问题2_固定价,逐时段独立,39,18160155.84653771,1065714.028789459,4579289.0376452245,5.524688285302215
问题2_固定价,逐时段独立,40,18131278.095989607,1060581.1545793696,4571419.507823348,5.356886001515648
问题2_固定价,逐时段独立,41,18157853.86789926,1065772.2008505447,4561274.857666457,5.511311991601087
问题2_固定价,逐时段独立,42,18151248.481505126,1068391.8619688575,4557590.908177194,5.472929537940696
问题2_固定价,逐时段独立,43,18162417.3754569,1068101.6370897684,4544786.867269593,5.5378295345438255
问题2_固定价,逐时段独立,44,18170997.46812416,1068321.1317667002,4547836.316235057,5.587686573867878
问题2_固定价,逐时段独立,45,18154792.742257193,1067544.753125927,4564385.334153915,5.493524460926191
问题2_固定价,逐时段独立,46,18142389.90013361,1065005.38193112,4539039.849276358,5.421454261749314
问题2_固定价,逐时段独立,47,18140998.805175394,1063375.6173438472,4556073.039554628,5.413370913617199
问题2_固定价,逐时段独立,48,18136709.462242004,1062192.839281208,4556046.029316361,5.388446481259912
问题2_固定价,逐时段独立,49,18111783.84698506,1055166.7229515654,4564735.539928398,5.243609190075005
问题2_固定价,逐时段独立,50,18182352.89824598,1072398.0257172822,4550015.1461603055,5.653670491300988
问题2_固定价,逐时段独立,51,18166479.63575167,1069893.5390819418,4558422.2703091,5.561434439422497
问题2_固定价,逐时段独立,52,18189925.946241215,1075888.6044492703,4548150.869375004,5.697675814593373
问题2_固定价,逐时段独立,53,18162634.10385537,1070748.047898442,4560737.741905097,5.539088895800659
问题2_固定价,逐时段独立,54,18122155.207247697,1060138.5981524864,4572224.7482141135,5.303874893082061
问题2_固定价,逐时段独立,55,18133976.602054413,1061403.091647789,4562685.248521853,5.372566429246062
问题2_固定价,逐时段独立,56,18137396.78837634,1060035.5946742902,4545873.837112637,5.392440382892083
问题2_固定价,逐时段独立,57,18186425.601622593,1070113.7703759747,4558937.178882241,5.677336078641071
问题2_固定价,逐时段独立,58,18165095.430878274,1067879.2819750044,4576817.049452409,5.553391128064256
问题2_固定价,逐时段独立,59,18147531.020504102,1065459.4435719294,4562134.399514506,5.451328186241922
问题2_固定价,逐时段独立,60,18157755.57107912,1067205.325061744,4568783.96844553,5.5107408103076905
问题2_固定价,逐时段独立,61,18122536.202627182,1061940.4482536672,4561190.178051647,5.306088773788709
问题2_固定价,逐时段独立,62,18161632.38078062,1069100.7900952478,4557039.74366929,5.533268102405242
问题2_固定价,逐时段独立,63,18122772.356656685,1060699.9379522472,4581435.023632965,5.307461013132975
问题2_固定价,逐时段独立,64,18157112.837795623,1067225.0047652307,4558919.035643157,5.507006027965233
问题2_固定价,逐时段独立,65,18184892.96357364,1073830.8568312724,4554723.825924426,5.668430254608681
问题2_固定价,逐时段独立,66,18109775.39312192,1060223.6579700122,4554825.486103927,5.231938504556988
问题2_固定价,逐时段独立,67,18130768.298525833,1056704.4340271796,4554943.2091534315,5.35392368010672
问题2_固定价,逐时段独立,68,18147161.63766086,1066926.6407395527,4552621.615385957,5.449181783440071
问题2_固定价,逐时段独立,69,18118756.123693306,1058534.3417801585,4566596.203409297,5.284123562996368
问题2_固定价,逐时段独立,70,18177815.16636014,1070719.1417755545,4573738.956156263,5.627302725141825
问题2_固定价,逐时段独立,71,18112986.78431578,1057892.910286007,4543535.131166602,5.250599195442995
问题2_固定价,逐时段独立,72,18178999.054407176,1072536.9293169323,4568282.868941687,5.634182039294422
问题2_固定价,逐时段独立,73,18132978.413234673,1059504.8087145083,4578144.69063078,5.366766172632453
问题2_固定价,逐时段独立,74,18152472.29691711,1067359.348008697,4541846.706515329,5.480040861266322
问题2_固定价,逐时段独立,75,18168223.415264003,1066915.6222986148,4563798.7036184,5.571567160255531
问题2_固定价,逐时段独立,76,18147619.45161963,1064893.4312840903,4569884.713091395,5.451842040086552
问题2_固定价,逐时段独立,77,18129157.483912144,1059780.872415436,4555920.972179679,5.344563589178475
问题2_固定价,逐时段独立,78,18158685.751381844,1065962.1071935147,4561618.764512383,5.516145884323764
问题2_固定价,逐时段独立,79,18179388.349095836,1070839.829954305,4551040.348510345,5.6364441454689995
问题2_固定价,逐时段独立,80,18181628.424913824,1071368.8668312603,4562124.883374834,5.649460735438061
问题2_固定价,逐时段独立,81,18150784.454470593,1064445.271323645,4568254.6292963065,5.470233178471728
问题2_固定价,逐时段独立,82,18152647.53263656,1067557.9764376332,4558397.122117979,5.4810591176528645
问题2_固定价,逐时段独立,83,18155526.037365973,1063706.003156174,4582480.066158976,5.497785478200989
问题2_固定价,逐时段独立,84,18138874.191907387,1062878.3515159285,4548162.462968044,5.40102525123809
问题2_固定价,逐时段独立,85,18154360.550352037,1065544.040715814,4561299.472318788,5.491013088421659
问题2_固定价,逐时段独立,86,18143128.686371855,1066752.2788861606,4552454.6068440415,5.425747186774799
问题2_固定价,逐时段独立,87,18124303.62585225,1057964.0589651165,4568173.576008656,5.316358883058125
问题2_固定价,逐时段独立,88,18130504.345319897,1061704.6710183946,4563735.230639873,5.352389905836641
问题2_固定价,逐时段独立,89,18146542.437779006,1065957.4231934058,4553254.306719866,5.445583748540406
问题2_固定价,逐时段独立,90,18135068.681932405,1066471.0010268942,4568590.851767692,5.378912266235658
问题2_固定价,逐时段独立,91,18166466.188688528,1068964.617919803,4571786.728897342,5.561356301483689
问题2_固定价,逐时段独立,92,18171782.164680496,1068930.6811532762,4574824.90912288,5.592246273696766
问题2_固定价,逐时段独立,93,18162150.816013217,1069240.9319087358,4550474.834330476,5.536280615997002
问题2_固定价,逐时段独立,94,18127004.68362632,1064201.281013292,4571662.125360362,5.3320541382122055
问题2_固定价,逐时段独立,95,18127335.340136502,1059827.4449796136,4567231.617879355,5.33397551077428
问题2_固定价,逐时段独立,96,18173481.734607887,1069718.5974260867,4568089.774625405,5.602122102314233
问题2_固定价,逐时段独立,97,18135721.937617958,1059671.0569696608,4575725.782788391,5.382708191951879
问题2_固定价,逐时段独立,98,18218218.807161503,1080832.5802464085,4558365.362329783,5.862079432852085
问题2_固定价,逐时段独立,99,18145667.265550382,1062951.8733300692,4577856.892571962,5.44049831439537
问题2_固定价,逐时段独立,100,18156710.27881085,1068598.3496762463,4543859.857522078,5.504666845871031
问题2_固定价,一小时相关块,1,18201729.290316388,1072075.7234786274,4537521.967664667,5.766262461909744
问题2_固定价,一小时相关块,2,18062102.393702254,1050423.1709536354,4545759.152019364,4.954921146011304
问题2_固定价,一小时相关块,3,18170885.297835525,1067917.9463169314,4529442.711495452,5.587034776887556
问题2_固定价,一小时相关块,4,18037974.650855374,1044615.397156242,4541361.049919881,4.81472011665558
问题2_固定价,一小时相关块,5,18137682.91047629,1061822.8990473575,4592702.691241335,5.394102975750004
问题2_固定价,一小时相关块,6,18085513.479970463,1058535.5597254364,4605666.47237315,5.090957840946619
问题2_固定价,一小时相关块,7,18115040.491892476,1056961.6763601215,4555901.9613095615,5.262532840379275
问题2_固定价,一小时相关块,8,18135341.354006354,1061722.7222579436,4566061.958391036,5.380496703938209
问题2_固定价,一小时相关块,9,18190045.831572153,1080856.8799686336,4573376.473938932,5.698372441994826
问题2_固定价,一小时相关块,10,18193902.516300485,1070556.5940601295,4568566.202565196,5.720782792280965
问题2_固定价,一小时相关块,11,18135742.4381721,1056891.9992111586,4558222.337380536,5.3828273161820706
问题2_固定价,一小时相关块,12,18090780.745924946,1052536.8796707815,4605013.467315687,5.121564769800058
问题2_固定价,一小时相关块,13,18164848.74980265,1061763.6874514248,4547876.323217224,5.551957718360545
问题2_固定价,一小时相关块,14,18174510.943517998,1076588.6019511705,4569441.332873357,5.608102609879118
问题2_固定价,一小时相关块,15,18196529.613548357,1081433.7325292544,4538003.20448865,5.7360482790157485
问题2_固定价,一小时相关块,16,18080922.066105906,1047789.8309342272,4580453.564737597,5.064278140566247
问题2_固定价,一小时相关块,17,18099625.350800164,1046015.3017995715,4589349.266078701,5.172958831632535
问题2_固定价,一小时相关块,18,18144698.529519714,1057500.5831284674,4549666.117075893,5.434869201488479
问题2_固定价,一小时相关块,19,18109491.466592114,1061529.950037433,4558351.660483165,5.23028866967632
问题2_固定价,一小时相关块,20,18115420.77192574,1060630.4325889358,4567700.228335841,5.26474256436571
问题2_固定价,一小时相关块,21,18204636.186666753,1075795.5667469683,4529060.1147139035,5.783153799949026
问题2_固定价,一小时相关块,22,18080727.341206636,1049110.6708466785,4542042.1792913545,5.0631466368241895
问题2_固定价,一小时相关块,23,18096820.038268715,1040071.2430334818,4552724.175525086,5.156657774916629
问题2_固定价,一小时相关块,24,18163146.595134,1070114.2133095558,4538783.41355164,5.5420668703777265
问题2_固定价,一小时相关块,25,18164731.749922886,1075080.1073666192,4593715.55263317,5.551277857683923
问题2_固定价,一小时相关块,26,18194697.85511057,1075484.5040438748,4542852.170366401,5.725404331915573
问题2_固定价,一小时相关块,27,18226632.022847738,1073568.5190260261,4574253.274059478,5.91096678658789
问题2_固定价,一小时相关块,28,18034286.87790422,1041988.8165109428,4558776.887226078,4.793291275712486
问题2_固定价,一小时相关块,29,18190880.798392426,1079950.6953399004,4540630.99626427,5.703224251317529
问题2_固定价,一小时相关块,30,18099190.78148974,1056188.8031669927,4515575.25795206,5.170433644546679
问题2_固定价,一小时相关块,31,18161506.493535765,1068454.8580511226,4587942.677449196,5.532536599196547
问题2_固定价,一小时相关块,32,18092268.688545972,1059757.8539999286,4585063.337162496,5.130210878489727
问题2_固定价,一小时相关块,33,18233421.19497499,1086816.5327126603,4538389.066063954,5.950417178891643
问题2_固定价,一小时相关块,34,18178079.532390896,1078730.568167604,4576914.972329294,5.6288388982465465
问题2_固定价,一小时相关块,35,18130332.1236027,1057640.993521632,4540902.746837917,5.351389163157072
问题2_固定价,一小时相关块,36,18193090.510171812,1075184.2013032916,4600434.738486158,5.716064402508425
问题2_固定价,一小时相关块,37,18172208.997030158,1067271.0669764173,4582499.381504897,5.594726502998126
问题2_固定价,一小时相关块,38,18248438.80234887,1079617.9326021175,4505467.437809523,6.037681206266288
问题2_固定价,一小时相关块,39,18201155.166436356,1072952.3685409105,4552585.722445106,5.76292635378437
问题2_固定价,一小时相关块,40,18238495.670879874,1082362.6280664755,4531712.905462867,5.9799038469907195
问题2_固定价,一小时相关块,41,18122103.464199584,1058844.0835163952,4545873.2606936265,5.303574225561958
问题2_固定价,一小时相关块,42,17991256.08857186,1032963.5698263631,4598224.4551463835,4.543248783272458
问题2_固定价,一小时相关块,43,18149625.88605298,1073832.8820703002,4580924.77349837,5.4635009911403465
问题2_固定价,一小时相关块,44,18013044.039103407,1034625.5479137974,4579133.590435137,4.66985379193241
问题2_固定价,一小时相关块,45,18044634.600264084,1053592.2312527916,4517971.603236912,4.853419624043553
问题2_固定价,一小时相关块,46,18124931.583360262,1055571.0221145242,4533678.436046819,5.320007806605331
问题2_固定价,一小时相关块,47,18074361.786678307,1050789.7804427214,4587486.077934999,5.026157793609332
问题2_固定价,一小时相关块,48,18222991.493137706,1076829.923935839,4573795.159678773,5.889812465771982
问题2_固定价,一小时相关块,49,18084741.59972733,1055445.1761457825,4558871.464737319,5.086472613906778
问题2_固定价,一小时相关块,50,18120683.579378314,1062167.8188537257,4552428.148458371,5.295323585841039
问题2_固定价,一小时相关块,51,18126490.086316854,1062449.34367223,4569063.715777259,5.329063925951205
问题2_固定价,一小时相关块,52,18054812.637578756,1041459.3949934599,4543391.6443339065,4.912561969740548
问题2_固定价,一小时相关块,53,18175682.348036148,1076644.2374580419,4557309.070351794,5.614909384979416
问题2_固定价,一小时相关块,54,18134741.17952991,1070507.5112511949,4577075.107196577,5.377009221502549
问题2_固定价,一小时相关块,55,18185358.800243728,1076248.750742138,4543001.577279947,5.671137129473536
问题2_固定价,一小时相关块,56,18143002.984332178,1067435.9085842604,4591483.899280345,5.425016759752821
问题2_固定价,一小时相关块,57,18130526.3420112,1059230.024210474,4563300.693372427,5.352517723792194
问题2_固定价,一小时相关块,58,18190151.18179589,1068586.4496273734,4580219.62908422,5.698984609071722
问题2_固定价,一小时相关块,59,18214612.920927733,1077360.263766756,4528325.278897177,5.841126417689302
问题2_固定价,一小时相关块,60,18135301.106985766,1057342.6546124902,4530706.833554102,5.380262837316252
问题2_固定价,一小时相关块,61,18126238.819505922,1058413.7440457481,4551303.868169607,5.327603869543984
问题2_固定价,一小时相关块,62,18022300.63016612,1038521.2196072327,4571864.199184202,4.723641815269408
问题2_固定价,一小时相关块,63,18024254.306683514,1041711.5857427716,4580046.10363926,4.734994201628351
问题2_固定价,一小时相关块,64,18118747.8368435,1065447.1212391593,4560818.835420231,5.28407540992708
问题2_固定价,一小时相关块,65,18146054.098054446,1067040.375767967,4545173.531855453,5.442746113354513
问题2_固定价,一小时相关块,66,18085201.306604873,1058307.1879742953,4546246.162623421,5.089143869889701
问题2_固定价,一小时相关块,67,18157256.061995793,1065351.4147168554,4543534.849118978,5.507838272424248
问题2_固定价,一小时相关块,68,18204841.780180667,1078917.074232649,4510663.665270015,5.784348458830402
问题2_固定价,一小时相关块,69,18170283.57395447,1086503.7785481722,4595488.994391905,5.58353829120104
问题2_固定价,一小时相关块,70,18149646.85016934,1069168.4078338125,4557395.560557254,5.463622809029056
问题2_固定价,一小时相关块,71,18195269.8914752,1070213.07272362,4556586.037304766,5.7287283099461295
问题2_固定价,一小时相关块,72,18142916.586591356,1061474.5108028345,4551353.27734116,5.424514721403262
问题2_固定价,一小时相关块,73,18133883.27819193,1057570.280623309,4525884.3995397985,5.372024144720466
问题2_固定价,一小时相关块,74,18124877.308469657,1062332.1199777052,4529299.678959856,5.319692427103018
问题2_固定价,一小时相关块,75,18116274.35289392,1061745.0938441383,4570787.274368968,5.269702536425114
问题2_固定价,一小时相关块,76,18186281.328503232,1076827.7194437939,4576051.591169649,5.676497739142383
问题2_固定价,一小时相关块,77,18155092.034062613,1065391.8085895423,4518053.848115088,5.495263580058207
问题2_固定价,一小时相关块,78,18262410.48219895,1084183.5334599544,4570903.602429308,6.118867577873477
问题2_固定价,一小时相关块,79,18240070.182323147,1081979.8086326143,4544105.922557402,5.989052988146604
问题2_固定价,一小时相关块,80,18140219.65585054,1062153.787048026,4520073.502500682,5.4088434475355385
问题2_固定价,一小时相关块,81,18102207.305143513,1059609.3763526105,4563823.319480804,5.187962002836066
问题2_固定价,一小时相关块,82,18166459.599850368,1072583.319244116,4571606.04043786,5.561318015188199
问题2_固定价,一小时相关块,83,18112604.055577844,1062386.6685944374,4572544.545526762,5.248375242570025
问题2_固定价,一小时相关块,84,18140937.95758419,1068020.6035444445,4556192.12005661,5.413017341591231
问题2_固定价,一小时相关块,85,18174366.177491713,1066827.1098977062,4536011.316041858,5.607261406206265
问题2_固定价,一小时相关块,86,18099477.07919908,1054794.4991578597,4534505.944998397,5.1720972578322755
问题2_固定价,一小时相关块,87,18125792.370284393,1058343.1246477722,4589683.971903556,5.325009650896573
问题2_固定价,一小时相关块,88,18290464.744960904,1112091.149157107,4518112.322175801,6.281884754490585
问题2_固定价,一小时相关块,89,18122061.164628364,1055733.145511807,4554037.553229129,5.303328432017818
问题2_固定价,一小时相关块,90,18124380.197035227,1057393.2995295993,4611921.530729154,5.316803821432203
问题2_固定价,一小时相关块,91,18216739.017872445,1084921.580466908,4579152.196053252,5.853480701388802
问题2_固定价,一小时相关块,92,18181834.911288343,1070442.3021489913,4597897.738930051,5.6506605825368705
问题2_固定价,一小时相关块,93,18123948.51873837,1063417.8847598415,4599827.864287668,5.314295433393013
问题2_固定价,一小时相关块,94,18184833.367734388,1075165.6003970443,4563666.508111208,5.668083956239145
问题2_固定价,一小时相关块,95,18147559.52576754,1064500.5040058037,4578374.908850678,5.451493824084674
问题2_固定价,一小时相关块,96,18129045.885475535,1061139.836230427,4543542.65147814,5.3439151151050135
问题2_固定价,一小时相关块,97,18241639.925662912,1088337.1308583287,4557806.759172105,5.998174422897318
问题2_固定价,一小时相关块,98,18168546.569219887,1068392.666481961,4570955.866933712,5.573444937117755
问题2_固定价,一小时相关块,99,18130163.705511227,1054779.074864591,4545321.68278692,5.350410522513549
问题2_固定价,一小时相关块,100,18174607.968513425,1075929.2554206355,4539690.121819953,5.608666400877671
问题3_固定价,逐时段独立,1,18044881.57591156,1352808.329878154,2427555.3326796656,11.957229829254334
问题3_固定价,逐时段独立,2,18186946.931502998,1385480.9926800192,2416809.4672488393,12.838656709215556
问题3_固定价,逐时段独立,3,18073778.314967208,1356130.1924301623,2436614.907282616,12.136516062979918
问题3_固定价,逐时段独立,4,18057449.36439937,1353103.3190926258,2421020.60073292,12.035205114282178
问题3_固定价,逐时段独立,5,18219355.010319524,1385000.8551459555,2406790.098398873,13.039728615014589
问题3_固定价,逐时段独立,6,18082841.880077265,1362357.6344259733,2426990.131463249,12.192749828650818
问题3_固定价,逐时段独立,7,18104252.034999367,1368308.26994116,2416980.423216764,12.325586479598627
问题3_固定价,逐时段独立,8,18131966.983620588,1368475.0098253882,2424161.745740466,12.497540441138288
问题3_固定价,逐时段独立,9,18100789.318023775,1362299.7862819922,2437798.679796825,12.304102481566325
问题3_固定价,逐时段独立,10,18101198.749828674,1370854.8508173728,2420160.064137174,12.30664275042248
问题3_固定价,逐时段独立,11,18176250.412745796,1380183.259833706,2402783.101054909,12.77229148515826
问题3_固定价,逐时段独立,12,18085305.063974686,1359750.0541629563,2430548.9586379295,12.208032347660724
问题3_固定价,逐时段独立,13,18152098.67626235,1374419.0145225823,2424830.886163774,12.622445031421336
问题3_固定价,逐时段独立,14,18096978.62348944,1361142.2684742939,2439412.7812018096,12.280459499926621
问题3_固定价,逐时段独立,15,18097464.23276378,1365305.8391684494,2447371.2593554147,12.283472402444474
问题3_固定价,逐时段独立,16,18144888.68715789,1374542.3738217847,2412656.9100567303,12.577711548198511
问题3_固定价,逐时段独立,17,18109699.725233458,1361921.801764922,2418120.8483978845,12.359385998038853
问题3_固定价,逐时段独立,18,18112071.620670587,1364949.5911660385,2435836.2659248402,12.37410212911838
问题3_固定价,逐时段独立,19,18058873.598021597,1351883.3378862059,2419119.8597816755,12.04404159515924
问题3_固定价,逐时段独立,20,18142938.82799462,1374385.0741806854,2418225.988020635,12.56561388883959
问题3_固定价,逐时段独立,21,18078275.29448975,1359034.7286544917,2426230.2794901244,12.164417014716534
问题3_固定价,逐时段独立,22,18099734.67913375,1362757.7748832637,2433728.2502410733,12.29755910536845
问题3_固定价,逐时段独立,23,18147816.51494983,1372461.1653811121,2422919.144447397,12.595876892627246
问题3_固定价,逐时段独立,24,18085796.31585178,1363349.9797492921,2430530.1506881164,12.21108025900759
问题3_固定价,逐时段独立,25,18036013.596539,1350646.9121472999,2433781.4316735687,11.90220955103538
问题3_固定价,逐时段独立,26,18114395.775698975,1372468.8641899782,2417963.3745777225,12.388522060752582
问题3_固定价,逐时段独立,27,18080814.187549047,1360518.4003238687,2421625.1855079997,12.180169261831942
问题3_固定价,逐时段独立,28,18130411.480047513,1375308.00699182,2415635.391210895,12.487889512131156
问题3_固定价,逐时段独立,29,18113506.65612009,1364340.9102936052,2429859.1946001444,12.383005628593136
问题3_固定价,逐时段独立,30,18056775.512898356,1350224.3912730115,2425709.9011086547,12.031024286214542
问题3_固定价,逐时段独立,31,18174587.688908387,1380225.8576760306,2425770.393347833,12.76197532131842
问题3_固定价,逐时段独立,32,18104270.06816297,1361712.9768642911,2420884.0780500527,12.325698364125737
问题3_固定价,逐时段独立,33,18066562.0091101,1354183.038694473,2432775.281053931,12.091743388248656
问题3_固定价,逐时段独立,34,18107372.2297405,1367197.1969095021,2427739.6163121853,12.344945340906488
问题3_固定价,逐时段独立,35,18137101.707506984,1370708.5851949304,2432830.5618337234,12.529398198688014
问题3_固定价,逐时段独立,36,18071728.273214996,1355455.3821358243,2417349.878610649,12.123796833172484
问题3_固定价,逐时段独立,37,18070036.800398108,1357359.355788249,2431906.9459604155,12.113302299854901
问题3_固定价,逐时段独立,38,18006831.32227187,1341055.0201431266,2438018.4366951874,11.721151749501967
问题3_固定价,逐时段独立,39,18121917.940426074,1366125.8839484851,2440167.8150615515,12.435192398910377
问题3_固定价,逐时段独立,40,18105195.84485925,1365186.8109529228,2423856.1776496735,12.331442230823896
问题3_固定价,逐时段独立,41,18175798.38772432,1377478.105963692,2431187.8865169208,12.769486951972219
问题3_固定价,逐时段独立,42,18066115.338906307,1357547.6843225348,2419971.146927405,12.088972078364812
问题3_固定价,逐时段独立,43,18063651.108651977,1355861.3209298307,2424074.430476016,12.07368306736325
问题3_固定价,逐时段独立,44,18131642.139845178,1372067.7283823611,2424309.4487423534,12.495524988220552
问题3_固定价,逐时段独立,45,18122152.285260905,1370749.3398975874,2432826.89134699,12.43664636237487
问题3_固定价,逐时段独立,46,18103109.28653509,1369650.3227534026,2425317.310994124,12.318496438474558
问题3_固定价,逐时段独立,47,18077611.089188945,1360751.6803398598,2433895.3505677627,12.160296035301776
问题3_固定价,逐时段独立,48,18114276.84409217,1373664.362639618,2402417.600061201,12.38778416434796
问题3_固定价,逐时段独立,49,18104011.740447193,1364910.17736556,2438034.3977033794,12.324095601850749
问题3_固定价,逐时段独立,50,18127331.79747489,1373384.72084752,2428971.962399027,12.46878200354853
问题3_固定价,逐时段独立,51,18134493.05313255,1369484.6148013738,2410631.13794345,12.513213126144574
问题3_固定价,逐时段独立,52,18071532.756189257,1352236.391540532,2424402.1642272337,12.122583772034123
问题3_固定价,逐时段独立,53,18078240.778260928,1361183.6987090388,2434752.1567247217,12.164202863055484
问题3_固定价,逐时段独立,54,18061785.725405656,1356592.2813082319,2438345.2513113697,12.062109528354448
问题3_固定价,逐时段独立,55,18110902.41556789,1364823.3797537144,2428649.1207910674,12.366847941062353
问题3_固定价,逐时段独立,56,18063412.87040225,1354263.2478800577,2432263.5631800853,12.072204947688903
问题3_固定价,逐时段独立,57,18052359.291180294,1355274.1301050794,2443985.219960044,12.003624386260302
问题3_固定价,逐时段独立,58,18058492.782799624,1358308.2934632003,2419396.4402563595,12.041678874342821
问题3_固定价,逐时段独立,59,18182777.533158734,1378365.327556528,2424913.9688098077,12.812788194273272
问题3_固定价,逐时段独立,60,18089028.335131485,1360195.1177206882,2430761.7992059356,12.23113292179665
问题3_固定价,逐时段独立,61,18085428.534482468,1360696.9448170643,2421118.0807831725,12.208798405113575
问题3_固定价,逐时段独立,62,18076924.8653099,1356985.5138743562,2424934.378917864,12.156038444349072
问题3_固定价,逐时段独立,63,18155239.88651625,1376149.2820064188,2401368.1626367476,12.641934280871858
问题3_固定价,逐时段独立,64,18026333.95154638,1348325.7006222627,2430237.330332676,11.842153394138721
问题3_固定价,逐时段独立,65,18103268.351170577,1366194.344767768,2425808.077731236,12.319483335278392
问题3_固定价,逐时段独立,66,18150445.354359657,1370176.8767750724,2418862.0015596664,12.612187200719438
问题3_固定价,逐时段独立,67,18052692.36131474,1347430.6871637213,2417407.9534425046,12.005690878602437
问题3_固定价,逐时段独立,68,18059583.3408172,1356893.0385083496,2435235.867290357,12.048445106312933
问题3_固定价,逐时段独立,69,18051329.26302766,1353120.4990349002,2430979.297020495,11.997233704330368
问题3_固定价,逐时段独立,70,18073706.737847663,1361587.248922849,2416624.011442625,12.136071971618634
问题3_固定价,逐时段独立,71,18138927.534205146,1377256.732686914,2406920.9764561197,12.540726313999517
问题3_固定价,逐时段独立,72,18138556.42054141,1367274.1570340227,2437632.3385182354,12.538423785298015
问题3_固定价,逐时段独立,73,18164096.089233242,1378137.251854221,2423545.2600927236,12.696881492291867
问题3_固定价,逐时段独立,74,18089630.12407156,1365891.3221581301,2433214.4738682555,12.234866646642084
问题3_固定价,逐时段独立,75,18096844.909258924,1364228.1964514675,2438639.0132097076,12.2796298865665
问题3_固定价,逐时段独立,76,18078239.78928653,1361150.4200182972,2426786.4327730713,12.164196727086507
问题3_固定价,逐时段独立,77,18144162.497976515,1374596.8486009135,2432939.4666170925,12.573205997483928
